movie,chapter,character,dialog,part,dialog_len
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,I should have known that you would be here...Professor McGonagall.,1,10
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",1,9
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad.",1,9
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?,1,14
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life.",1,9
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall.",1,5
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"No problems, I trust, Hagrid?",1,5
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Rubeus Hagrid,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",1,22
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",1,27
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,The only family he has.,1,5
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.,1,18
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,Exactly. He's better off growing up away from all that. Until he is ready.,1,14
Harry Potter and the Philosopher's Stone,Doorstep Delivery,Albus Dumbledore,"There, there, Hagrid. It's not really goodbye, after all.",1,9
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Wake up, cousin! We're going to the zoo!",1,8
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, here he comes, the birthday boy!",1,7
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything.",1,13
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,I want everything to be perfect for my Dudley's special day.,1,11
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Hurry up! Bring my coffee, boy!",1,6
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Thirty-six?! But last year last year I had thirty-seven!!,1,9
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year.",1,14
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,I don't care how big they are!,1,7
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",1,28
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.,1,15
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",1,22
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",1,68
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!",1,12
Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",1,18
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It's all right. It's all right.,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",1,20
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,There's no such thing as magic!,1,6
Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",1,20
Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Caveat Smeltona. Proudest moment of my life.,1,7
Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Will I have to wear that, too?",1,7
